Artist,ID,Artist_name,Country,Area,Genre,Artist OG,artist_match
SO FRESH SERIES,4e1d1ce3-e92a-409a-88e1-5cf4919ce7f3,SO FRESH SQUAD,,,other,SO FRESH SERIES,69
SOLO,44433b08-265a-444f-8456-c72955179020,SOLO LOS SOLO,ES,Spain,other,SOLO,47
SONGS 4 WORSHIP SERIES,e830bd7d-8cd5-4032-a020-9bf5d2b24fe4,SONGS 4 WORSHIP KIDS,,,other,SONGS 4 WORSHIP SERIES,86
SOUNDS OF THE SEVENTIES SERIES,c863164f-76fb-49f7-8e06-b463e046a9ab,SOUNDS OF THE SEVENTIES ORCHESTRA,,,other,SOUNDS OF THE SEVENTIES SERIES,86
STAR ACADEMIE SERIES,24cdda0c-c925-4e62-b5bc-3278fe61ba86,STAR ACADEMIE,CA,Canada,other,STAR ACADEMIE SERIES,79
STEVE WRIGHT S SUNDAY LOVE SONGS SERIES,44d206b5-1bdb-4d4e-b7ab-4976498f58b9,LOVE SONGS,,,other,STEVE WRIGHT`S SUNDAY LOVE SONGS SERIES,41
STYLES,6c81c5d0-5159-4be8-b774-aa8397ed5a93,STYLES P,US,United States,hip hop,STYLES,86
THE ALBUM SERIES,ffb18e19-64a4-4a65-b4ce-979e00c3c69d,THE ALBUM LEAF,,San Diego,electronic,THE ALBUM SERIES,73
THE ANNUAL SERIES  AUSTRALIA ,8a63d651-0fa9-4b94-8569-e180899c427a,AUSTRALIA,,,other,THE ANNUAL SERIES (AUSTRALIA),47
THE ANNUAL SERIES  UK ,a57d7a1b-b7ef-4f36-bbf6-9f5a167cd08d,UK SUBS,GB,United Kingdom,punk,THE ANNUAL SERIES (UK),28
THE BEST   ALBUM IN THE WORLD   EVER  SERIES,910fbe37-23da-4414-8299-91cc104d12e9,BEST KISSERS IN THE WORLD,US,United States,other,THE BEST...ALBUM IN THE WORLD...EVER! SERIES,52
THE BEST   ANTHEMS   EVER  SERIES,c2f5523c-a3e1-4038-a03c-157d0c348b6c,PAYSO BEST EVER,,,other,THE BEST...ANTHEMS...EVER! SERIES,42
THE CHART SHOW SERIES,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,THE BEATLES,,England,rock,THE CHART SHOW SERIES,50
